Vote,Sector,Financial Year,"Approved Budget (UGX, Millions)",Released Budget (UGX),Actual Expenditure (UGX),Approved Budget (% of GDP),Actual Expenditure (% of GDP),Performance (%),Deviation (UGX),Execution Status,Nominal GDP (UGX Trillions),Subprogram,Source File,Imputed,Actual Expenditure (UGX) - Original,Released Budget (UGX) - Original,Execution_Rate,Absorption_Rate
10,Agriculture,23/24,490000.0,416500000000.0,436100000000.0,0.280336404,0.2494993992791349,89.0,53900000000.0,Satisfactorily Spent,174.79,"1316 Enhancing National Food Security through
increased Rice production in Eastern Uganda",Approved Budget Estimates FY 2023-24.pdf,Yes,,,1.2,1.0470588235294118
14,Health,23/24,2940000.0,2646000000000.0,2734200000000.0,1.682018422,1.564277132559071,93.0,205800000000.0,Satisfactorily Spent,174.79,1386 Crop Pests and Diseases Control Phase II,Approved Budget Estimates FY 2023-24.pdf,Yes,,,1.2,1.0333333333333334
10,Agriculture,23/24,7680000.0,6528000000000.0,6835200000000.0,4.393844041,3.910521196864809,89.0,844800000000.0,Satisfactorily Spent,174.79,1444 Agriculture Value Chain Development,Approved Budget Estimates FY 2023-24.pdf,Yes,,,1.2,1.0470588235294118
10,Agriculture,23/24,7680000.0,6528000000000.0,6835200000000.0,4.393844041,3.910521196864809,89.0,844800000000.0,Satisfactorily Spent,174.79,1444 Agriculture Value Chain Development,Approved Budget Estimates FY 2023-24.pdf,Yes,,,1.2,1.0470588235294118
14,Health,23/24,680000.0,612000000000.0,632400000000.0,0.389038275,0.3618055952857715,93.0,47600000000.0,Satisfactorily Spent,174.79,1386 Crop Pests and Diseases Control Phase II,Approved Budget Estimates FY 2023-24.pdf,Yes,,,1.2,1.0333333333333334
10,Agriculture,23/24,3000000.0,2550000000000.0,2670000000000.0,1.716345329,1.527547342525316,89.0,330000000000.0,Satisfactorily Spent,174.79,"1618 Retooling of Ministry Agriculture, Animal
Industry and Fisheries",Approved Budget Estimates FY 2023-24.pdf,Yes,,,1.2,1.0470588235294118
10,Agriculture,23/24,3000000.0,2550000000000.0,2670000000000.0,1.716345329,1.527547342525316,89.0,330000000000.0,Satisfactorily Spent,174.79,"1618 Retooling of Ministry Agriculture, Animal
Industry and Fisheries",Approved Budget Estimates FY 2023-24.pdf,Yes,,,1.2,1.0470588235294118
10,Agriculture,23/24,3000000.0,2550000000000.0,2670000000000.0,1.716345329,1.527547342525316,89.0,330000000000.0,Satisfactorily Spent,174.79,"1618 Retooling of Ministry Agriculture, Animal
Industry and Fisheries",Approved Budget Estimates FY 2023-24.pdf,Yes,,,1.2,1.0470588235294118
14,Health,23/24,270000.0,243000000000.0,251100000000.0,0.15447108,0.1436581040105269,93.0,18900000000.0,Satisfactorily Spent,174.79,1330 Livestock Diseases Control Project Phase 2,Approved Budget Estimates FY 2023-24.pdf,Yes,,,1.2,1.0333333333333334
10,Agriculture,23/24,270000.0,229500000000.0,240300000000.0,0.15447108,0.1374792608272785,89.0,29700000000.0,Satisfactorily Spent,174.79,1330 Livestock Diseases Control Project Phase 2,Approved Budget Estimates FY 2023-24.pdf,Yes,,,1.2,1.0470588235294118
10,Agriculture,23/24,2591000.0,2202350000000.0,2305990000000.0,1.482350249,1.319291721494365,89.0,285010000000.0,Satisfactorily Spent,174.79,1444 Agriculture Value Chain Development,Approved Budget Estimates FY 2023-24.pdf,Yes,,,1.2,1.0470588235294118
10,Agriculture,23/24,2591000.0,2202350000000.0,2305990000000.0,1.482350249,1.319291721494365,89.0,285010000000.0,Satisfactorily Spent,174.79,1444 Agriculture Value Chain Development,Approved Budget Estimates FY 2023-24.pdf,Yes,,,1.2,1.0470588235294118
10,Agriculture,23/24,73750.0,62687500000.0,65637500000.0,0.042193489,0.03755220550374735,89.0,8112500000.0,Satisfactorily Spent,174.79,Project 1263 Agriculture Cluster Development Project (ACDP),Approved Budget Estimates FY 2023-24.pdf,Yes,,,1.2,1.0470588235294118
